beer_name,brewery_name,beer_type,beer_abv,beer_ibu,comment,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,rating_score,created_at,checkin_url,beer_url,brewery_url,brewery_country,brewery_city,brewery_state,flavor_profiles,purchase_venue,serving_type,checkin_id,bid,brewery_id,photo_url,global_rating_score,global_weighted_rating_score,tagged_friends,total_toasts,total_comments
"Taihu IPA (臺虎IPA)","Taihu Brewing (臺虎)","IPA - American",6,0,,"乾杯 Kanpai Yakiniku Restaurant",大安區,臺北市,臺灣,25.0407,121.547,4.25,"2019-11-17 21:58:03",https://untappd.com/c/830809986,https://untappd.com/beer/2014798,https://untappd.com/brewery/274004,Taiwan,Taichung,臺中市,"fruity,hoppy,bitter","乾杯 Kanpai Yakiniku Restaurant",Can,830809986,2014798,274004,https://untappd.s3.amazonaws.com/photos/2019_11_17/fa6ba0057a9f218cfa9cfc24d89d1b41_raw.jpg,3.71,3.71,,0,0
"SUPER 8 IPA","Brouwerij Haacht Brasserie","IPA - Belgian",6,0,,"Beer Talk Café & Bar (細酌牛飲餐酒館)",鹽埕區,,臺灣,22.6184,120.286,3.25,"2020-01-29 22:51:44",https://untappd.com/c/860326339,https://untappd.com/beer/1830227,https://untappd.com/brewery/3426,Belgium,Boortmeerbeek,"Vlaams Brabant","fruity,light,hoppy,bitter","Beer Talk Café & Bar (細酌牛飲餐酒館)",Draft,860326339,1830227,3426,https://untappd.s3.amazonaws.com/photos/2020_01_29/4d50bfbab8cc2b13a986dbaec41e404e_raw.jpg,3.46,3.46,,0,0
"King Mule Belgian IPA","Brouwerij Cornelissen","IPA - Belgian",5.7,60,,"Beer Talk Café & Bar (細酌牛飲餐酒館)",鹽埕區,,臺灣,22.6184,120.286,3.25,"2020-01-29 23:12:25",https://untappd.com/c/860327587,https://untappd.com/beer/2115317,https://untappd.com/brewery/254053,Belgium,Opitter,Vlaanderen,"fruity,hoppy,perfumy,bitter,fragrant","Beer Talk Café & Bar (細酌牛飲餐酒館)",Draft,860327587,2115317,254053,https://untappd.s3.amazonaws.com/photos/2020_01_29/87f5dc2351a1ddbdc1ae9a4575153ab1_raw.jpg,3.26,3.28,,0,0
"Extra Autumn",Kaschk,"IPA - Other",6,0,,"Kaschk by BRLO",Berlin,Berlin,Deutschland,52.5284,13.41,4.5,"2020-02-29 19:05:11",https://untappd.com/c/872488183,https://untappd.com/beer/3446561,https://untappd.com/brewery/395835,Germany,Berlin,Berlin,"hoppy,juicy,peachy,Hazy","Kaschk by BRLO",Draft,872488183,3446561,395835,https://untappd.s3.amazonaws.com/photos/2020_02_29/e19efcd8d8febfbbe5d2fe81ad49de28_raw.jpg,3.63,3.66,,0,0
"Lowlander Winter I.P.A.","Lowlander Beer","IPA - White / Wheat",5,35,,"The Castle Berlin Mitte",Berlin,Berlin,Deutschland,52.5315,13.3885,4.25,"2020-03-01 16:54:43",https://untappd.com/c/873200267,https://untappd.com/beer/2874384,https://untappd.com/brewery/219305,Netherlands,Amsterdam,Noord-Holland,"juniper,light,bitter,crisp","The Castle Berlin Mitte",Draft,873200267,2874384,219305,,3.47,3.47,,0,0
"Fresh Pale Ale",LX,"Pale Ale - American",5,25,,"LX Portugal Craft Beer",Lisboa,Lisboa,Portugal,38.7126,-9.12767,4,"2020-03-02 18:16:44",https://untappd.com/c/873587340,https://untappd.com/beer/1528888,https://untappd.com/brewery/116696,Portugal,Lisbon,"Área Metropolitana de Lisboa","light,bitter,ginger","LX Portugal Craft Beer",Bottle,873587340,1528888,116696,https://untappd.s3.amazonaws.com/photos/2020_03_02/ecc95398a21c9ab7003ceff597b1b23e_raw.jpg,3.29,3.38,,0,0
SeteAis,"HopSin Craft Beer","IPA - New England / Hazy",6.3,48,,"Cerveteca Lisboa",Lisboa,Lisboa,Portugal,38.7152,-9.15106,4.25,"2020-03-02 21:48:26",https://untappd.com/c/873630483,https://untappd.com/beer/2008686,https://untappd.com/brewery/352033,Portugal,Sintra,"Área Metropolitana de Lisboa","floral,fruity,hoppy","Cerveteca Lisboa",Draft,873630483,2008686,352033,,3.75,3.74,,0,0
Transmission,"North Brewing Co.","IPA - American",6.9,51,,"Cerveteca Lisboa",Lisboa,Lisboa,Portugal,38.7152,-9.15106,4,"2020-03-02 22:00:13",https://untappd.com/c/873632948,https://untappd.com/beer/1083661,https://untappd.com/brewery/202720,England,Leeds,"West Yorkshire","fruity,strong,hoppy","Cerveteca Lisboa",Draft,873632948,1083661,202720,https://untappd.s3.amazonaws.com/photos/2020_03_02/4380e44ec04239f940c6fe1854c52e60_raw.jpg,3.82,3.82,,0,0
"Extra Autumn",Kaschk,"IPA - Other",6,0,,"Kaschk by BRLO",Berlin,Berlin,Deutschland,52.5284,13.41,4.5,"2020-07-07 20:34:21",https://untappd.com/c/915024041,https://untappd.com/beer/3446561,https://untappd.com/brewery/395835,Germany,Berlin,Berlin,"hoppy,juicy,Hazy","Kaschk by BRLO",Draft,915024041,3446561,395835,https://untappd.s3.amazonaws.com/photos/2020_07_07/3363629a119f4d6a0c3b53720da967e2_raw.jpg,3.63,3.66,,0,0
Follow>Dream>Path>,"O Brother Brewing","IPA - Imperial / Double",8,0,,"Beer District",Nice,"Provence-Alpes-Côte d'Azur",France,43.6996,7.28291,3.5,"2020-07-24 19:42:42",https://untappd.com/c/921500571,https://untappd.com/beer/3670511,https://untappd.com/brewery/174855,Ireland,Kilcoole,Leinster,"bitter,pineapple,Hazy","Beer District",Draft,921500571,3670511,174855,https://untappd.s3.amazonaws.com/photos/2020_07_24/aa82a6d566c52dcd5c60e0de1791dfe8_raw.jpg,3.78,3.76,,1,0
Kaleidoscope,"Larkin's Brewing Co","IPA - Imperial / Double",8.5,0,,"Beer District",Nice,"Provence-Alpes-Côte d'Azur",France,43.6996,7.28291,3.75,"2020-07-24 20:14:59",https://untappd.com/c/921522144,https://untappd.com/beer/3591111,https://untappd.com/brewery/386835,Ireland,Kilcoole,Leinster,"hoppy,juicy","Beer District",Draft,921522144,3591111,386835,https://untappd.s3.amazonaws.com/photos/2020_07_24/f9cdcb4a58f70eed2e8d280e173dcaa8_raw.jpg,3.92,3.85,,0,0
"51st State IPA","O'Hara's Brewery ","IPA - New England / Hazy",6,40,,"Le Bateleur",Nice,"Provence-Alpes-Côte d'Azur",France,43.6955,7.27593,3,"2020-07-25 21:55:57",https://untappd.com/c/922244889,https://untappd.com/beer/1998488,https://untappd.com/brewery/342,Ireland,Carlow,Leinster,"fruity,smooth","Le Bateleur",Draft,922244889,1998488,342,https://untappd.s3.amazonaws.com/photos/2020_07_25/2f504c9ae6c223b34be8964b81fe5b17_raw.jpg,3.5,3.5,,0,0
Fiera,"Birra dell'Eremo","IPA - American",6.5,45,,"Off the Hook",Firenze,Toscana,Italia,43.7708,11.262,3.75,"2020-08-29 17:23:37",https://untappd.com/c/935957781,https://untappd.com/beer/420425,https://untappd.com/brewery/39488,Italy,Capodacqua,Umbria,"fruity,smooth,hoppy","Off the Hook",Draft,935957781,420425,39488,https://untappd.s3.amazonaws.com/photos/2020_08_29/ef6792272b489d48f796a06bec86ea6e_raw.jpg,3.62,3.63,,0,0
Morgana,"Mostodolce Birrificio Artigianale","Pale Ale - American",7,0,,"Birrificio Mostodolce",Prato,Toscana,Italia,43.8733,11.1088,4,"2020-08-29 18:57:30",https://untappd.com/c/936015224,https://untappd.com/beer/83258,https://untappd.com/brewery/16586,Italy,Prato,Toscana,,"Birrificio Mostodolce",Bottle,936015224,83258,16586,https://untappd.s3.amazonaws.com/photos/2020_08_29/970d1166993308aa261b6bc5b812ba2f_raw.jpg,3.53,3.63,,0,0
"Disco Ninja","Revision Brewing Company","IPA - New England / Hazy",7,40,,"Hop In",,,臺灣,24.958,121.224,3.75,"2020-11-09 20:52:59",https://untappd.com/c/962757061,https://untappd.com/beer/2259257,https://untappd.com/brewery/218458,"United States",Sparks,NV,"smooth,hoppy,juicy","Hop In",Draft,962757061,2259257,218458,https://untappd.s3.amazonaws.com/photos/2020_11_09/ed997f1335dc3323d6c75e9fd5670326_raw.jpg,4.02,4.01,,0,0
DIPA,"Revision Brewing Company","IPA - Imperial / Double",8,75,,"Hop In",,,臺灣,24.958,121.224,4,"2020-11-09 21:48:05",https://untappd.com/c/962759023,https://untappd.com/beer/2008435,https://untappd.com/brewery/218458,"United States",Sparks,NV,"deep,hoppy,bitter","Hop In",Draft,962759023,2008435,218458,https://untappd.s3.amazonaws.com/photos/2020_11_09/cb4edf1e460c3351c644447319536b97_raw.jpg,3.97,3.97,,0,0
Hoptologist,"Knee Deep Brewing Company","IPA - Imperial / Double",9,102,,"Hop In",,,臺灣,24.958,121.224,4.25,"2020-11-10 22:01:56",https://untappd.com/c/962918659,https://untappd.com/beer/81914,https://untappd.com/brewery/2445,"United States",Auburn,CA,"strong,smooth,hoppy","Hop In",,962918659,81914,2445,https://untappd.s3.amazonaws.com/photos/2020_11_10/bc14bae5b90b7b91f80d9543a8dfe586_raw.jpg,3.94,3.94,,0,0
"Spider Monkey","Black Isle Brewery","IPA - American",5.2,0,,"Black Isle Rooms",Inverness,Highland,"United Kingdom",57.4794,-4.22723,3.75,"2021-08-17 20:48:49",https://untappd.com/c/1066676592,https://untappd.com/beer/3767192,https://untappd.com/brewery/3806,Scotland,Munlochy,Highland,"hoppy,juicy,refreshing","Black Isle Rooms",Draft,1066676592,3767192,3806,https://untappd.s3.amazonaws.com/photos/2021_08_17/5b2c9fad8ee93d3ba52006783f80e25d_raw.jpg,3.66,3.66,,0,0
TRAILHEADZ,"Garage Beer Co.","Pale Ale - New England / Hazy",4.6,0,,"Beerhouse Madrid",Madrid,Madrid,España,40.4306,-3.70172,3.5,"2021-09-08 22:36:53",https://untappd.com/c/1075118546,https://untappd.com/beer/4452369,https://untappd.com/brewery/182609,Spain,Barcelona,Catalunya,"tropical,bitter,resinous,Hazy","Beerhouse Madrid",Draft,1075118546,4452369,182609,https://untappd.s3.amazonaws.com/photos/2021_09_08/c2c4d6d549d93ec436fd2e51e74d0278_raw.jpg,3.71,3.71,,0,0
"Azzaca IPA","Taproom Madrid","IPA - American",7.2,58,,Taproom,Madrid,Madrid,España,40.4361,-3.71295,4.25,"2021-09-09 22:10:02",https://untappd.com/c/1075363285,https://untappd.com/beer/4071598,https://untappd.com/brewery/467229,Spain,Madrid,"Comunidad de Madrid","tropical,light,hoppy",Taproom,Draft,1075363285,4071598,467229,https://untappd.s3.amazonaws.com/photos/2021_09_09/343a4a81ed0bc17bda9d3280857eed88_raw.jpg,3.73,3.69,,0,0
"Une Aile Cassée","Animus Brewing Co.","IPA - New England / Hazy",7,15,,Taproom,Madrid,Madrid,España,40.4361,-3.71295,3.75,"2021-09-09 22:51:35",https://untappd.com/c/1075378540,https://untappd.com/beer/4134231,https://untappd.com/brewery/469237,Spain,,,"tropical,sweet,hoppy,Hazy",Taproom,Draft,1075378540,4134231,469237,https://untappd.s3.amazonaws.com/photos/2021_09_09/078bcb89cbc9e1aa3bfa7283b1808040_raw.jpg,4.03,3.82,,0,0
"Rolling Palace 3","Black Isle Brewery","IPA - American",6,0,,"Black Isle Rooms",Inverness,Highland,"United Kingdom",57.4794,-4.22723,4.25,"2021-11-08 20:14:44",https://untappd.com/c/1096849994,https://untappd.com/beer/4329611,https://untappd.com/brewery/3806,Scotland,Munlochy,Highland,"piney,fruity,hoppy,juicy","Black Isle Rooms",Draft,1096849994,4329611,3806,https://untappd.s3.amazonaws.com/photos/2021_11_08/56a8df185e8ece49a1c7f581d2a00c03_raw.jpg,3.81,3.74,,0,0
"Supply Chain Issues","Black Isle Brewery","Pale Ale - Other",4.8,0,,"Black Isle Rooms",Inverness,Highland,"United Kingdom",57.4794,-4.22723,3.75,"2021-11-08 21:00:32",https://untappd.com/c/1096859663,https://untappd.com/beer/4524600,https://untappd.com/brewery/3806,Scotland,Munlochy,Highland,"soft,light,smooth","Black Isle Rooms",Draft,1096859663,4524600,3806,https://untappd.s3.amazonaws.com/photos/2021_11_08/55d62b6156c62006e969a9fcf443a300_raw.jpg,3.67,3.68,,0,0
"Lāčplēsis Dzintara",Lāčplēsis,"Lager - Amber",4.8,20,,"Kiwi Bar",Rīga,Riga,Latvija,56.9478,24.109,2.75,"2022-04-08 22:15:18",https://untappd.com/c/1145911328,https://untappd.com/beer/388148,https://untappd.com/brewery/14914,Latvia,Liepāja,Kurzeme,"light,creamy,sweet","Kiwi Bar",Draft,1145911328,388148,14914,https://untappd.s3.amazonaws.com/photos/2022_04_08/d2021f3600ce92bd05ee6ee351d82fc3_raw.jpg,2.94,2.98,,0,0
"Madonas Alus Nefiltrēts","Madonas Alus SIA","Lager - Vienna",5.6,0,,"Kiwi Bar",Rīga,Riga,Latvija,56.9478,24.109,3.5,"2022-04-08 23:12:39",https://untappd.com/c/1145954726,https://untappd.com/beer/1973068,https://untappd.com/brewery/236677,Latvia,Madona,Vidzeme,"malty,bread,smooth","Kiwi Bar",,1145954726,1973068,236677,https://untappd.s3.amazonaws.com/photos/2022_04_08/111221ee2b859cd1542b10f19a9bbd44_raw.jpg,3.22,3.25,,0,0
"Lielvārdes Lāgeris",Lielvārdes,"Lager - Pale",5,17,,"Late night ""MUNCHIES""",Rīga,Riga,Latvija,56.9461,24.1077,3.5,"2022-04-09 00:10:43",https://untappd.com/c/1145995324,https://untappd.com/beer/4207502,https://untappd.com/brewery/390162,Latvia,,,"clean,light,watery","Late night ""MUNCHIES""",Draft,1145995324,4207502,390162,,2.91,3.24,,0,0
IPA,Alķīmiķis,"IPA - American",5.8,50,,Alķīmiķis,Rīga,Riga,Latvija,56.9566,24.1209,3.5,"2022-04-09 15:59:19",https://untappd.com/c/1146255748,https://untappd.com/beer/1659138,https://untappd.com/brewery/285835,Latvia,Riga,Vidzeme,"thin,bitter",Alķīmiķis,Draft,1146255748,1659138,285835,https://untappd.s3.amazonaws.com/photos/2022_04_09/4eb545537fc0290d8c48a5b59a4ff76f_raw.jpg,3.35,3.41,,0,0
"Pierwsza Pomoc",PINTA,"Pilsner - Other",4.1,33,,"BEERA Bar",Riga,Riga,Latvija,56.9541,24.1289,2.75,"2022-04-09 16:41:07",https://untappd.com/c/1146268451,https://untappd.com/beer/817769,https://untappd.com/brewery/14861,Poland,Wieprz,"województwo śląskie","light,dry,hoppy","BEERA Bar",Draft,1146268451,817769,14861,https://untappd.s3.amazonaws.com/photos/2022_04_09/dbcaf3b304f23fddebde76066da7740b_raw.jpg,3.22,3.23,,1,0
"Can U Fix Seed?","Uncle Brew","IPA - New England / Hazy",5.6,50,,"BEERA Bar",Riga,Riga,Latvija,56.9541,24.1289,3.75,"2022-04-09 17:22:02",https://untappd.com/c/1146283139,https://untappd.com/beer/2917424,https://untappd.com/brewery/366119,Estonia,,,"citrusy,hoppy,juicy,Pomegranate","BEERA Bar",Draft,1146283139,2917424,366119,https://untappd.s3.amazonaws.com/photos/2022_04_09/64f9c25082cd7ff300c672ba8cb243c1_raw.jpg,3.45,3.48,,1,0
"DUNA IPA","DUNA Brewery","IPA - American",6,45,,"Valmiermuižas alus pārstāvniecība",Rīga,Riga,Latvija,56.9655,24.1304,3.75,"2022-04-09 18:35:52",https://untappd.com/c/1146316437,https://untappd.com/beer/4267102,https://untappd.com/brewery/489722,Latvia,Kuldīga,Kurzeme,"light,bitter,crisp","Valmiermuižas alus pārstāvniecība",Draft,1146316437,4267102,489722,https://untappd.s3.amazonaws.com/photos/2022_04_09/e57c861b38f3d492c20311e245406c6b_raw.jpg,3.68,3.69,,0,0
E005,Labietis,"IPA - New England / Hazy",5.4,7,,Labietis,Rīga,Riga,Latvija,56.965,24.1308,3.5,"2022-04-09 19:22:40",https://untappd.com/c/1146344319,https://untappd.com/beer/4776490,https://untappd.com/brewery/76935,Latvia,Riga,Vidzeme,"boozy,dry-hop",Labietis,Draft,1146344319,4776490,76935,https://untappd.s3.amazonaws.com/photos/2022_04_09/21a47f343897e4037985fd7e6025fe92_raw.jpg,3.88,3.72,"Tom Meaney",0,0
"Ješka (Jack)",Labietis,"Lager - Amber",5.2,18,,Labietis,Rīga,Riga,Latvija,56.965,24.1308,3.5,"2022-04-09 20:02:29",https://untappd.com/c/1146374516,https://untappd.com/beer/3784605,https://untappd.com/brewery/76935,Latvia,Riga,Vidzeme,"malty,carbonated,light",Labietis,Draft,1146374516,3784605,76935,https://untappd.s3.amazonaws.com/photos/2022_04_09/1aad975dd06e0fc0346d9b6219ebfc1a_raw.jpg,3.41,3.5,"Tom Meaney",0,0
"Trīs indiāņi (Three Indians)",Labietis,"Pale Ale - American",5,30,,Labietis,Rīga,Riga,Latvija,56.965,24.1308,3.75,"2022-04-10 17:53:35",https://untappd.com/c/1146920749,https://untappd.com/beer/443287,https://untappd.com/brewery/76935,Latvia,Riga,Vidzeme,"sweet,hoppy,bitter",Labietis,Draft,1146920749,443287,76935,https://untappd.s3.amazonaws.com/photos/2022_04_10/c4f1092c821a828912c28edc9daeef8f_raw.jpg,3.49,3.51,"Tom Meaney",0,0
